조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드,분모학생수
2021,학부모,10131019,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131020,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131021,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131022,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131023,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131024,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131025,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131026,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131027,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131028,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131029,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131030,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131031,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131032,1013,PR_EDU_COST_01,10.0,,1.0,
